Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone
MFCC_1,-382.91742,92.82156,-342.08438,97.45815
MFCC_2,174.3687,67.24287,174.01768,63.93463
MFCC_3,23.233568,38.161335,19.193462,39.940865
MFCC_4,17.79457,30.72579,24.907177,33.412273
MFCC_5,18.794065,23.03834,13.432129,25.53146
MFCC_6,11.9468,17.633938,21.397415,18.463423
MFCC_7,16.943415,16.278294,9.578354,14.366797
MFCC_8,0.21731205,14.322962,-6.6481266,16.330858
MFCC_9,-3.4925113,12.743339,3.4847045,11.58127
MFCC_10,3.6306307,8.781314,2.5855973,10.904148
MFCC_11,1.726457,10.749019,3.986978,13.240376
MFCC_12,3.51476,11.018101,-2.0265715,12.05623
MFCC_13,0.22387324,10.393529,-0.022444323,8.690836
