Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone,Mean_Diff,Std_Diff
MFCC_1,-382.91742,92.82156,-342.08438,97.45815,40.83304,4.636596
MFCC_2,174.3687,67.24287,174.01768,63.934635,0.351013,3.308231
MFCC_3,23.233568,38.161335,19.193462,39.940865,4.040106,1.77953
MFCC_4,17.79457,30.72579,24.907175,33.412273,7.112606,2.686484
MFCC_5,18.794065,23.03834,13.432129,25.53146,5.361936,2.49312
MFCC_6,11.9468,17.63394,21.397415,18.463423,9.450615,0.829483
MFCC_7,16.943415,16.278294,9.578354,14.366797,7.365061,1.911496
MFCC_8,0.217312,14.322962,-6.648126,16.330858,6.865438,2.007896
MFCC_9,-3.492511,12.743339,3.484704,11.58127,6.977216,1.162068
MFCC_10,3.630631,8.781314,2.585598,10.904148,1.045033,2.122834
MFCC_11,1.726457,10.749019,3.986978,13.240376,2.260521,2.491358
MFCC_12,3.51476,11.018101,-2.026572,12.05623,5.541332,1.038129
MFCC_13,0.223873,10.393529,-0.022444,8.690836,0.246318,1.702693
